DishName,Ingredients,TimeWillTake,DifficultyLevel
Spaghetti Carbonara,"spaghetti, eggs, pancetta, Parmesan, black pepper, olive oil, garlic",25 min,Bit hard
Chicken Curry,"chicken thighs, onion, garlic, ginger, tomato, curry powder, coconut milk, cilantro, oil",45 min,Bit hard
Beef Stroganoff,"beef sirloin, mushrooms, onion, sour cream, beef broth, Dijon mustard, egg noodles, butter",40 min,Bit hard
Vegetable Stir-Fry,"broccoli, bell pepper, carrot, snap peas, garlic, soy sauce, sesame oil, rice",20 min,Easy
Grilled Salmon,"salmon fillets, lemon, olive oil, garlic, dill, salt, pepper",18 min,Easy
Margherita Pizza,"pizza dough, crushed tomatoes, fresh mozzarella, basil, olive oil, salt",30 min,Bit hard
Caesar Salad,"romaine lettuce, croutons, Parmesan, anchovies, garlic, egg yolk, lemon juice, olive oil, black pepper",15 min,Easy
Lamb Biryani,"basmati rice, lamb, onion, yogurt, tomatoes, biryani masala, saffron, ghee, cilantro",90 min,Hard
Shrimp Scampi,"shrimp, garlic, butter, white wine, lemon, parsley, spaghetti",25 min,Bit hard
Ratatouille,"eggplant, zucchini, bell pepper, tomato, onion, garlic, olive oil, thyme",60 min,Bit hard
Pad Thai,"rice noodles, eggs, shrimp, tofu, tamarind paste, fish sauce, palm sugar, peanuts, bean sprouts, lime",35 min,Bit hard
Butter Chicken,"chicken, tomato puree, butter, cream, garam masala, ginger, garlic, kasuri methi",60 min,Bit hard
Tacos al Pastor,"pork shoulder, pineapple, guajillo chiles, achiote paste, onion, cilantro, corn tortillas",120 min,Hard
Moussaka,"eggplant, ground lamb, tomatoes, onion, bechamel sauce, olive oil, Parmesan",90 min,Hard
Sushi Rolls,"sushi rice, nori, cucumber, avocado, salmon, rice vinegar, soy sauce, wasabi",60 min,Bit hard
Clam Chowder,"clams, potatoes, bacon, onion, celery, cream, thyme, butter",45 min,Bit hard
Falafel Wrap,"dried chickpeas, onion, garlic, parsley, cumin, coriander, pita, tahini sauce",45 min,Bit hard
Chili con Carne,"ground beef, kidney beans, tomatoes, onion, chili powder, cumin, garlic, beef stock",75 min,Easy
Egg Fried Rice,"cooked rice, eggs, scallions, peas, carrots, soy sauce, sesame oil",15 min,Easy
Lasagna,"lasagna noodles, ground beef, ricotta, mozzarella, tomato sauce, Parmesan, onion, garlic",90 min,Hard
Shakshuka,"eggs, tomatoes, red pepper, onion, garlic, cumin, paprika, olive oil",30 min,Easy
Pulled Pork Sandwich,"pork shoulder, BBQ sauce, onion, buns, brown sugar, paprika, garlic powder",360 min,Hard
Ceviche,"white fish, lime juice, red onion, cilantro, chili pepper, tomato, avocado, salt",30 min,Bit hard
Ramen,"ramen noodles, pork belly, soft-boiled eggs, soy sauce, miso paste, nori, scallions, pork broth",180 min,Hard
Stuffed Peppers,"bell peppers, ground beef, cooked rice, tomato sauce, onion, garlic, mozzarella",60 min,Easy
Beef Tacos,"ground beef, taco seasoning, corn tortillas, lettuce, tomato, cheddar, salsa",20 min,Easy
Gnocchi with Pesto,"potato gnocchi, basil pesto, Parmesan, pine nuts, olive oil",20 min,Easy
Chicken Alfredo,"fettuccine, chicken breast, heavy cream, butter, Parmesan, garlic, black pepper",30 min,Easy
Shepherd's Pie,"ground lamb, carrots, peas, onion, beef stock, tomato paste, mashed potatoes, butter",75 min,Bit hard
Tom Yum Soup,"lemongrass, kaffir lime leaves, galangal, chili, shrimp, mushrooms, fish sauce, lime juice",25 min,Bit hard
Beef Burgers,"ground beef, burger buns, cheddar, lettuce, tomato, onion, pickles, ketchup",20 min,Easy
French Onion Soup,"yellow onions, beef broth, butter, thyme, baguette, Gruyere",80 min,Bit hard
Paella,"bomba rice, chicken, chorizo, shrimp, mussels, saffron, paprika, bell pepper, peas, stock",75 min,Hard
Chicken Kebab,"chicken thighs, yogurt, garlic, lemon juice, cumin, paprika, olive oil, skewers",45 min,Easy
Gumbo,"andouille sausage, chicken, okra, flour, oil, celery, onion, bell pepper, chicken stock, file powder",120 min,Hard
Fish and Chips,"cod fillets, flour, beer, baking powder, potatoes, oil, tartar sauce",45 min,Bit hard
Quiche Lorraine,"eggs, cream, bacon, Gruyere, pie crust, nutmeg, salt, pepper",60 min,Bit hard
Couscous Salad,"couscous, cucumber, tomato, parsley, lemon juice, olive oil, chickpeas, feta",20 min,Easy
Katsu Curry,"chicken cutlet, panko breadcrumbs, Japanese curry roux, rice, onion, carrot, potato, oil",45 min,Bit hard
Beef Wellington,"beef tenderloin, mushrooms, prosciutto, puff pastry, Dijon mustard, egg yolk",150 min,Hard
